	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Control	HPA	QT_121004_21	QT_121004_23	QT_121004_25	QT_121004_27	QT_121004_31	QT_121004_33	QT_121004_35	QT_121004_37	QT_121004_41	QT_121004_43	QT_121004_26	QT_121004_34	QT_121004_42	QT_121004_48	QT_121004_56	QT_121004_64	QT_121004_66		
1473	M91T487	Inf	3.114936139	0.020718106	91.05459578	91.05432464	91.05480467	487.23	486.72	487.44	6	0	6	0	0	0	0	0	0	0	0	0	0	1574.335536	1132.348585	1987.222132	7627.650998	1429.872447	2421.212427	2349.820702		
621	M120T353	Inf	7.157279273	0.000375293	120.0808027	120.0806942	120.0811166	352.52	352.13	353.1	5	0	5	0	0	0	0	0	0	0	0	0	0	6016.088445	5415.729902	5750.346481	12163.80903	5423.734948	5620.043251	9299.241606		
977	M137T487	Inf	4.550006239	0.003891811	137.0593416	137.0591536	137.0598325	487.23	487.03	487.44	4	0	4	0	0	0	0	0	0	0	0	0	0	1886.052252	2109.513322	3183.222359	8331.370419	2839.563866	3665.508467	4249.56646		
1420	M161T152	Inf	3.23689432	0.017756004	161.0618401	161.0612071	161.0622399	151.97	151.61	152.83	4	0	4	0	0	0	0	0	0	0	0	0	0	2091.381439	1145.187718	613.9677028	823.2189017	2016.318129	268.0848972	0		
867	M180T320	Inf	5.152654858	0.002109784	180.1011721	180.1010104	180.1013925	319.92	319.14	320.1	4	0	4	0	0	0	0	0	0	0	0	0	0	2005.536761	3082.610547	892.5938008	1813.425406	1664.69211	377.5332506	1932.141068		
1010	M185T530_2	Inf	4.415426767	0.004493012	185.1701661	185.1697678	185.170776	529.98	529.94	529.98	4	0	4	0	0	0	0	0	0	0	0	0	0	1240.35122	1823.575462	1497.66059	507.4083393	2328.560179	176.9656945	2408.5974		
1304	M187T931	Inf	3.533206527	0.012319786	186.6149308	186.6142687	186.6157608	930.9	930.6	931.47	5	0	5	0	0	0	0	0	0	0	0	0	0	2293.538612	3087.495742	1027.987251	1697.499405	0	298.0571976	1849.976013		
1392	M188T93	Inf	3.312033467	0.016163772	188.0910892	188.089904	188.0916721	92.565	91.99	92.91	4	0	4	0	0	0	0	0	0	0	0	0	0	1137.510122	3334.24322	1061.892361	192.2012283	1457.924296	1568.324844	342.2766045		
1097	M202T113	Inf	4.081208759	0.006493236	202.1071869	202.1067905	202.1075812	113.12	112.55	113.42	6	0	6	0	0	0	0	0	0	0	0	0	0	5127.688766	3820.612534	2631.409083	8896.705738	165.8454129	7009.029995	3461.724532		
1607	M208T459	Inf	2.856585935	0.028930799	208.0970136	208.0968573	208.0974612	458.7	458.35	458.7	6	0	6	0	0	0	0	0	0	0	0	0	0	3204.977825	7894.884427	3230.033273	19640.28605	10654.91893	993.6636308	3353.840022		
1043	M216T487	Inf	4.303585791	0.005072859	216.0330344	216.0327796	216.0331564	487.39	487.02	487.74	5	0	5	0	0	0	0	0	0	0	0	0	0	1189.427113	1436.014467	3056.492911	6508.954976	1867.86411	3467.185823	3005.510505		
2537	M220T474	Inf	1.528637498	0.177219376	220.0963289	220.0960335	220.096883	473.87	473.82	474.18	6	0	6	0	0	0	0	0	0	0	0	0	0	3365.270592	2187.432534	1096.743095	3657.55427	32216.95989	1441.778994	1949.777046		
1292	M221T487	Inf	3.553370047	0.012023008	221.0122043	221.0115786	221.0125357	487.38	487.03	487.74	7	0	7	0	0	0	0	0	0	0	0	0	0	3058.401892	2560.157332	4060.85829	14368.86503	3656.551848	5566.310087	4926.9099		
1591	M230T458	Inf	2.88361362	0.027925544	230.0787538	230.0785281	230.0791532	458.34	458.06	458.7	6	0	6	0	0	0	0	0	0	0	0	0	0	2433.860227	6580.000202	2703.700151	16240.62283	9754.975087	1115.80511	2688.286402		
1350	M230T474	Inf	3.425956593	0.014040671	230.17502	230.1740666	230.1764173	473.82	473.52	473.88	7	0	7	0	0	0	0	0	0	0	0	0	0	4288.33857	1650.577052	2315.196158	3074.545547	8686.447667	1607.67619	1614.653738		
1424	M232T601	Inf	3.219768994	0.018142461	232.1694611	232.1685446	232.1700313	600.75	600.28	600.9	4	0	4	0	0	0	0	0	0	0	0	0	0	1923.764634	699.0108235	699.1555772	2492.098689	4145.815181	442.0161494	984.6474298		
536	M237T288	Inf	7.991267861	0.000204701	237.1230147	237.1227902	237.1236407	288.36	288.06	288.42	5	0	5	0	0	0	0	0	0	0	0	0	0	1830.178292	2210.51667	2469.100243	3456.044702	997.9616445	2532.623887	2750.22856		
